NOSE_X,NOSE_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,RIGHT_PINKY_X,RIGHT_PINKY_Y,RIGHT_INDEX_X,RIGHT_INDEX_Y,RIGHT_THUMB_X,RIGHT_THUMB_Y,action
-0.11086804836380607,-1.3086558805277542,-0.033207308511972906,-1.334204040839166,-0.1963581753990602,-1.3306121142917409,0.12707608435459264,-0.9918929724446606,-0.3584338956700766,-1.017905096441016,0.0,0.0,-0.26061214923173853,-0.01491339886222318,-0.6654789059244582,-0.7894162759504084,-0.7820533507179268,-0.44432642197823363,-0.831650087176742,-0.325479625813969,-0.7731872723700138,0.12019068482246048,-0.7375149783342076,-0.34872081592578513,ARRIERE
-0.11769763272170573,-1.3647767573223222,-0.032632197283264434,-1.3961089788934473,-0.20299730305052144,-1.3907468060075592,0.13708196637210948,-0.9905597076883128,-0.3620662543430294,-1.0115295955588939,0.0,0.0,-0.26988458418660793,-0.024002000805638395,-0.5397204780522037,-0.5777241580341692,-0.72508918505072,-0.21519892991946019,-0.7950070895518135,-0.07094840768136144,-0.7673637416606368,0.39598637113084056,-0.735572965259409,-0.11663985178989573,ARRIERE
-0.10994153791709382,-1.318725695236942,-0.0342574369943757,-1.3489396025104305,-0.19606991814482178,-1.3425816283152892,0.12108322644664828,-0.9926423586938397,-0.34677864365782857,-0.992087265071629,0.0,0.0,-0.26341003826427434,-0.019699456601858803,-0.5587975045819378,-0.6343549831792017,-0.6039874163060911,-0.28226591397693496,-0.6270770690933577,-0.14770027949718734,-0.5691712986547895,0.28196334759868963,-0.5386244697217761,-0.20451962679632404,ARRIERE
-0.10593330852315543,-1.302480177078952,-0.03608170190482056,-1.3283986357039093,-0.19862211561417875,-1.3253494365774443,0.11534757669257029,-0.9933251917429415,-0.35269043291108193,-1.0059008434583012,0.0,0.0,-0.26240246108026466,-0.014697666568573272,-0.6483133167577482,-0.8016547854364242,-0.6685089953975283,-0.44279553970398033,-0.7046953436383063,-0.3097701816347711,-0.6323566128742686,0.11289388616437245,-0.6092894565124805,-0.3613471680281668,ARRIERE
-0.10380775813144068,-1.3381167564369694,-0.02827997656983287,-1.3740314954358979,-0.19969285257923314,-1.374871567573104,0.13512214587988555,-0.9908289487559468,-0.3615459540981973,-1.0013378502823114,0.0,0.0,-0.2758910551076064,-0.02543075642497008,-0.5767037292251536,-0.6274834049251251,-0.5670919099854111,-0.25458838521150323,-0.5805191794507694,-0.10224200196327687,-0.5128753498423191,0.34492023134687405,-0.4889766952069863,-0.17742165380602937,ARRIERE
-0.11922770047474972,-1.3600086478177968,-0.03823154057583403,-1.3807590090188764,-0.2020014455963574,-1.3761870558249996,0.13927763962867426,-0.9902533711628884,-0.3635869249866627,-1.0039936466250323,0.0,0.0,-0.2728444184452192,-0.023406872655095928,-0.621619588192831,-0.7089907936013664,-0.671696058988504,-0.38794297068014905,-0.7008502571413391,-0.24909708747859477,-0.6337739681012735,0.20343020654473767,-0.6087276395437878,-0.3056188051237648,ARRIERE
-0.1189507251579512,-1.3495999972403518,-0.036136535360516676,-1.377604461302344,-0.20034457466147024,-1.3679923761328059,0.13565441459118593,-0.9907562161308515,-0.35775764923366116,-1.0001450711811846,0.0,0.0,-0.26337115183850973,-0.024527659503663334,-0.5995300590005229,-0.6510144382658505,-0.8010326285346425,-0.32708815957983856,-0.890407182214291,-0.19422457630781026,-0.8572053860981897,0.2770338539510324,-0.8228494156738269,-0.22393073794110221,ARRIERE
-0.12527667639506546,-1.3293852535090664,-0.040544239708288514,-1.3580377797410286,-0.200226162919602,-1.3553201895804596,0.12730601007005396,-0.9918634884902475,-0.35585601563087466,-1.0048984182312044,0.0,0.0,-0.2578272713110715,-0.026132440409687898,-0.6304766382141593,-0.7300085728532237,-0.921960681313575,-0.5316085784598973,-1.0079832478959954,-0.4375460564443425,-0.9931057466505427,0.04143731055506566,-0.9598190224849749,-0.45582771055014976,ARRIERE
-0.12540548134307145,-1.3343063351282411,-0.042004992109945224,-1.3629675222447744,-0.20251702510657363,-1.3602200303155005,0.12452845581344434,-0.9922160368048477,-0.35615210279457676,-0.9930550363198137,0.0,0.0,-0.2603845287791289,-0.02506193043805704,-0.51845980870575,-0.5507486596417348,-0.7292082523902076,-0.22160194924964816,-0.7973641752729683,-0.0883023391797752,-0.7810618924013244,0.37445448212057436,-0.7522971450746508,-0.14153408511229237,ARRIERE
-0.11575675101642144,-1.3537127265270277,-0.0425760961584955,-1.383153065029454,-0.20350935582853943,-1.3727629610343717,0.12356495274697879,-0.9923364865067881,-0.35616157817443733,-1.0042410389234282,0.0,0.0,-0.2759536333938148,-0.022446312013929656,-0.5092867277487285,-0.5242747913522393,-0.5492720330666181,-0.1500732523951315,-0.5806093036665007,-0.0009927714769259284,-0.5346386877931035,0.4658706153331738,-0.5021297745770149,-0.05999000795368618,ARRIERE
-0.18813330558020633,-1.4011847132917257,-0.08915640629470961,-1.4113799950293298,-0.25441016201597405,-1.4144435534854976,0.07420486814916524,-0.9972430182974283,-0.41553628594136865,-0.9905773031590717,0.0,0.0,-0.3333916595167117,0.0379268959015668,-0.5619513091640838,-0.47723565396106654,-0.7133644945578662,-0.0771002121653441,-0.7786196754014905,0.04003118237671677,-0.7605614468920886,0.24732514967286554,-0.7285775772500385,0.00023291230152335825,ARRIERE
-0.19778819857207822,-1.3732003386368974,-0.09432000613954758,-1.3876856818316543,-0.2529169857282279,-1.386943037337185,0.07550497539271253,-0.99714542504639,-0.4091454204247942,-0.9729147773934316,0.0,0.0,-0.33075476113635793,0.023917611895287103,-0.5470983932882615,-0.47007497553347377,-0.6870470026177051,-0.0714141529791602,-0.747697300877192,0.036875665870986535,-0.7420438911788442,0.1949371872067505,-0.7099934262131432,0.01542838240420746,ARRIERE
-0.19926350038920612,-1.4004331346639982,-0.09738927004033926,-1.4032098594306177,-0.2766631557790066,-1.4028561692889738,0.07131806013482322,-0.9974536251368309,-0.41344861938313665,-0.9592121245203444,0.0,0.0,-0.32984002026115916,0.02625417662400883,-0.5573299146489339,-0.45499326095183645,-0.680407165796354,-0.059966477217944264,-0.7358081227327029,0.04756024136551424,-0.7320579422011276,0.2006809918023255,-0.6990472871127358,0.017191407224434883,ARRIERE
-0.20507576357742902,-1.3943299439342183,-0.10551882412633322,-1.4002970910878694,-0.28368035114739115,-1.3976370684121238,0.06048427276768007,-0.9981691503686962,-0.43157466493095087,-0.9574197207806258,0.0,0.0,-0.34261470962052804,0.02059889637445949,-0.577359960409021,-0.43619155164500656,-0.7461447576318418,-0.052180722480385515,-0.8077946464878186,0.05857184235145457,-0.8016506342987847,0.18509390423714794,-0.7717747664125392,0.03175077454334717,ARRIERE
-0.20087565853449788,-1.3980607496570177,-0.10131119234191473,-1.3979223454091183,-0.274433392850417,-1.3991486213879163,0.06282710238098202,-0.9980244261572006,-0.4238273324492938,-0.9595488520016761,0.0,0.0,-0.3353053559497061,0.022243283726528687,-0.5569667508850561,-0.40762094799675064,-0.7079990418044364,0.0025002404678823977,-0.7755250759696718,0.09721768950216435,-0.7759595613256101,0.2505326644712587,-0.7416647097852285,0.0700866920314884,ARRIERE
-0.17187081466643203,-1.3353868389326105,-0.08792933398146532,-1.3611804810750554,-0.25844297292620755,-1.374111745484418,0.07305197588428099,-0.9973281349783544,-0.4031901096363063,-0.9464560458718088,0.0,0.0,-0.31802742326607736,0.019960545612862302,-0.4867225080565038,-0.42669886007244373,-0.5638188711980529,-0.03426715415395466,-0.5919212088197607,0.05361871990870555,-0.5803854856828174,0.09803078963203354,-0.5564853254800141,0.02380828124582742,ARRIERE
